iter	Passed	Remaining
0	17	8359
1	34	8517
2	53	8605
3	70	8506
4	86	8389
5	102	8288
6	119	8268
7	137	8260
8	154	8258
9	172	8288
10	189	8238
11	205	8198
12	221	8121
13	238	8101
14	254	8070
15	271	8029
16	287	8010
17	305	8001
18	320	7949
19	336	7918
20	353	7904
21	370	7882
22	387	7866
23	404	7852
24	422	7865
25	439	7848
26	456	7826
27	473	7811
28	490	7790
29	506	7770
30	524	7762
31	541	7748
32	557	7725
33	575	7712
34	591	7691
35	608	7678
36	626	7665
37	642	7644
38	659	7629
39	677	7620
40	694	7600
41	710	7581
42	728	7573
43	745	7556
44	761	7529
45	777	7507
46	795	7494
47	813	7489
48	831	7479
49	848	7464
50	865	7447
51	881	7427
52	899	7413
53	917	7411
54	936	7407
55	955	7404
56	972	7386
57	990	7376
58	1009	7377
59	1027	7365
60	1046	7357
61	1064	7347
62	1082	7333
63	1099	7321
64	1118	7315
65	1137	7305
66	1155	7295
67	1173	7285
68	1207	7365
69	1229	7378
70	1247	7364
71	1264	7343
72	1283	7332
73	1301	7316
74	1320	7305
75	1338	7288
76	1356	7273
77	1373	7253
78	1391	7241
79	1409	7226
80	1428	7212
81	1447	7201
82	1464	7183
83	1483	7169
84	1501	7152
85	1519	7139
86	1537	7120
87	1555	7104
88	1572	7085
89	1589	7065
90	1606	7045
91	1624	7028
92	1641	7007
93	1660	6993
94	1676	6971
95	1695	6956
96	1712	6936
97	1730	6920
98	1746	6897
99	1764	6881
100	1782	6863
101	1798	6842
102	1815	6820
103	1832	6801
104	1850	6783
105	1866	6762
106	1885	6748
107	1903	6731
108	1919	6710
109	1937	6692
110	1955	6675
111	1972	6657
112	1989	6637
113	2006	6616
114	2024	6600
115	2040	6580
116	2057	6558
117	2074	6538
118	2091	6520
119	2108	6502
120	2126	6484
121	2143	6465
122	2161	6449
123	2178	6430
124	2196	6414
125	2214	6396
126	2231	6379
127	2249	6360
128	2266	6342
129	2282	6321
130	2302	6310
131	2322	6298
132	2339	6280
133	2356	6261
134	2374	6242
135	2390	6222
136	2408	6204
137	2425	6186
138	2442	6167
139	2459	6149
140	2475	6128
141	2492	6108
142	2510	6091
143	2527	6072
144	2545	6056
145	2563	6039
146	2582	6026
147	2600	6008
148	2616	5988
149	2633	5969
150	2651	5953
151	2668	5933
152	2685	5915
153	2702	5897
154	2719	5876
155	2735	5857
156	2753	5840
157	2770	5821
158	2788	5804
159	2804	5783
160	2820	5764
161	2843	5756
162	2864	5745
163	2881	5728
164	2899	5710
165	2916	5691
166	2933	5674
167	2951	5657
168	2969	5641
169	2986	5622
170	3004	5605
171	3022	5587
172	3039	5569
173	3057	5552
174	3075	5535
175	3093	5518
176	3111	5501
177	3131	5488
178	3149	5471
179	3166	5454
180	3184	5435
181	3201	5417
182	3218	5398
183	3235	5380
184	3254	5364
185	3270	5346
186	3288	5328
187	3305	5309
188	3323	5292
189	3340	5274
190	3356	5254
191	3375	5239
192	3396	5226
193	3413	5207
194	3429	5188
195	3447	5170
196	3464	5152
197	3480	5132
198	3496	5113
199	3514	5096
200	3531	5077
201	3549	5060
202	3567	5044
203	3585	5027
204	3602	5008
205	3618	4989
206	3636	4971
207	3653	4953
208	3673	4939
209	3691	4922
210	3708	4903
211	3724	4884
212	3742	4867
213	3760	4850
214	3777	4831
215	3794	4813
216	3810	4794
217	3827	4775
218	3844	4757
219	3861	4739
220	3878	4720
221	3894	4701
222	3911	4683
223	3928	4665
224	3945	4647
225	3962	4629
226	3980	4611
227	3997	4593
228	4014	4575
229	4031	4557
230	4048	4538
231	4065	4521
232	4082	4502
233	4099	4484
234	4117	4467
235	4135	4451
236	4153	4434
237	4171	4417
238	4189	4399
239	4206	4382
240	4224	4364
241	4241	4347
242	4259	4329
243	4277	4312
244	4297	4297
245	4315	4280
246	4333	4263
247	4351	4245
248	4369	4228
249	4387	4211
250	4404	4194
251	4422	4177
252	4440	4159
253	4457	4141
254	4474	4124
255	4492	4106
256	4509	4088
257	4526	4070
258	4543	4052
259	4560	4034
260	4577	4016
261	4593	3997
262	4610	3979
263	4628	3962
264	4645	3944
265	4663	3926
266	4679	3908
267	4696	3890
268	4713	3872
269	4730	3854
270	4748	3837
271	4767	3820
272	4784	3803
273	4801	3785
